[INFO](2026-06-03 00:23:51.514)	 LLB:step:1051,loadLockB PendingTasks 有片,触发Robot取片流程.
[WARN](2026-06-03 00:23:51.529)	 LLB:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:23:55.248)	 LLB:step 1051 WTR空闲，准备取片.
[INFO](2026-06-03 00:23:55.248)	 LLB:step:1051,loadLockB PendingTasks 有片,触发Robot取片流程.
[WARN](2026-06-03 00:23:55.256)	 LLB:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:23:58.976)	 LLB:step 1051 WTR空闲，准备取片.
[INFO](2026-06-03 00:23:58.976)	 LLB:step:1051,loadLockB PendingTasks 有片,触发Robot取片流程.
[WARN](2026-06-03 00:23:58.986)	 LLB:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:24:02.714)	 LLB:step 1051 WTR空闲，准备取片.
[INFO](2026-06-03 00:24:02.714)	 LLB:step:1051,loadLockB PendingTasks 有片,触发Robot取片流程.
[WARN](2026-06-03 00:24:02.726)	 LLB:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:24:06.452)	 LLB:step 1051 WTR空闲，准备取片.
[INFO](2026-06-03 00:24:06.452)	 LLB:step:1051,loadLockB PendingTasks 有片,触发Robot取片流程.
[WARN](2026-06-03 00:24:06.464)	 LLB:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:24:10.195)	 LLB:step 1051 WTR空闲，准备取片.
[INFO](2026-06-03 00:24:10.195)	 LLB:step:1051,loadLockB PendingTasks 有片,触发Robot取片流程.
[WARN](2026-06-03 00:24:10.209)	 LLB:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:24:13.942)	 LLB:step 1051 WTR空闲，准备取片.
[INFO](2026-06-03 00:24:13.942)	 LLB:step:1051,loadLockB PendingTasks 有片,触发Robot取片流程.
[WARN](2026-06-03 00:24:13.954)	 LLB:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:24:17.671)	 LLB:step 1051 WTR空闲，准备取片.
[INFO](2026-06-03 00:24:17.671)	 LLB:step:1051,loadLockB PendingTasks 有片,触发Robot取片流程.
[WARN](2026-06-03 00:24:17.702)	 LLB:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:24:21.429)	 LLB:step 1051 WTR空闲，准备取片.
[INFO](2026-06-03 00:24:21.429)	 LLB:step:1051,loadLockB PendingTasks 有片,触发Robot取片流程.
[WARN](2026-06-03 00:24:21.437)	 LLB:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:24:25.160)	 LLB:step 1051 WTR空闲，准备取片.
[INFO](2026-06-03 00:24:25.160)	 LLB:step:1051,loadLockB PendingTasks 有片,触发Robot取片流程.
[WARN](2026-06-03 00:24:25.176)	 LLB:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:24:28.899)	 LLB:step 1051 WTR空闲，准备取片.
[INFO](2026-06-03 00:24:28.899)	 LLB:step:1051,loadLockB PendingTasks 有片,触发Robot取片流程.
